method	samples	SNVs	clusters	coverage	seed	ARI	RI	dist	recall	precision	inferred_clusters
DECIFER	2	100	5	200	15	0.757586767982	0.912323232323	0.0164917222222	0.961303462322	0.70447761194	4
DECIFER	2	100	5	200	16	0.952307214173	0.984242424242	0.0155612363636	0.92723880597	1.0	6
DECIFER	2	100	5	200	17	1.0	1.0	0.007759395	1.0	1.0	5
DECIFER	2	100	5	200	18	0.746909976151	0.906060606061	0.00957405555556	0.97583081571	0.687234042553	4
DECIFER	2	100	5	200	19	0.615477313114	0.852323232323	0.0165989333333	0.90060851927	0.58382642998	4
DECIFER	2	100	5	200	2	0.869095041896	0.957777777778	0.0110631081818	0.888888888889	0.902316213494	6
DECIFER	2	100	5	200	20	0.7284922699	0.911515151515	0.0124688764	0.816221765914	0.754269449715	5
DECIFER	2	100	5	200	3	0.589620468064	0.84101010101	0.0158386277778	0.900621118012	0.55733504164	4
DECIFER	2	100	5	200	4	0.776262848135	0.919393939394	0.0108693544444	1.0	0.704663212435	4
DECIFER	2	100	5	200	5	0.604510760185	0.870303030303	0.00982559	0.699203187251	0.673704414587	5
DECIFER	2	100	5	200	6	0.605560530468	0.850505050505	0.0257225222222	0.846978557505	0.598484848485	4
DECIFER	2	100	5	200	7	0.974876835217	0.991717171717	0.01204387	0.97302504817	0.987292277615	5
DECIFER	2	100	5	200	8	0.927586566968	0.976565656566	0.005305405	0.945109780439	0.939484126984	5
DECIFER	2	100	5	200	9	0.881215234459	0.961616161616	0.01033866	0.905284147557	0.905284147557	5
DECIFER	2	500	5	200	1	0.921240356238	0.974805611222	0.008220179	0.938509117198	0.935465791265	5
DECIFER	2	500	5	200	10	0.93624373587	0.979366733467	0.0052577	0.948439780662	0.949938756964	5
DECIFER	2	500	5	200	11	0.773124942099	0.925531062124	0.0088503	0.852698182404	0.789683872653	5
DECIFER	2	500	5	200	12	0.915820016544	0.973074148297	0.00469056	0.93236579401	0.932926829268	5
DECIFER	2	500	5	200	13	0.620439621627	0.8774749499	0.0064333	0.702819263637	0.691742325984	5
DECIFER	2	500	5	200	14	0.806478779011	0.937995991984	0.0053937	0.844689699296	0.845805805806	5
DECIFER	2	500	5	200	15	0.750636252867	0.916264529058	0.0082456	0.858796575425	0.755009010919	5
DECIFER	2	500	5	200	16	0.93434796682	0.979687374749	0.0168718666667	0.901569300803	0.99695323884	7
DECIFER	2	500	5	200	17	0.920856150826	0.974693386774	0.00442609545455	0.936236766121	0.937101111869	6
DECIFER	2	500	5	200	18	0.477905827514	0.779919839679	0.00828575	0.873590433003	0.472479055433	3
DECIFER	2	500	5	200	19	0.849570157503	0.951182364729	0.00573019	0.889635431161	0.871005410455	5
DECIFER	2	500	5	200	2	0.641589044137	0.870340681363	0.011997509	0.853872813734	0.628034502179	5
DECIFER	2	500	5	200	20	0.818173042805	0.941603206413	0.0051946236	0.855175991699	0.854255531194	5
DECIFER	2	500	5	200	3	0.69965619022	0.90279759519	0.00734278	0.777392146576	0.744521315657	5
DECIFER	2	500	5	200	4	0.815147514334	0.940633266533	0.0125201	0.858974874372	0.845715416584	5
DECIFER	2	500	5	200	5	0.763718143742	0.914244488978	0.00487211	0.96753951973	0.708616880247	5
DECIFER	2	500	5	200	6	0.71468868887	0.908104208417	0.006491	0.780083487196	0.764555468135	5
DECIFER	2	500	5	200	7	0.93561059908	0.979462925852	0.00559967727273	0.944780847736	0.952111537684	6
DECIFER	2	500	5	200	8	0.713937539186	0.909386773547	0.0206655833333	0.759290405254	0.781767955801	7
DECIFER	2	500	5	200	9	0.745594754705	0.91995991984	0.0228695923077	0.777817875617	0.813606241087	8
DECIFER	2	50	5	200	1	0.899302145481	0.968979591837	0.022969979	0.922413793103	0.91452991453	5
DECIFER	2	50	5	200	10	0.954497804338	0.985306122449	0.0153633	0.963709677419	0.963709677419	5
DECIFER	2	50	5	200	11	0.717780255314	0.908571428571	0.01882134	0.75390625	0.797520661157	5
DECIFER	2	50	5	200	12	0.94345809678	0.981224489796	0.00828404	0.97233201581	0.93893129771	5
DECIFER	2	50	5	200	13	0.725775745042	0.911020408163	0.02043916	0.809128630705	0.755813953488	5
DECIFER	2	50	5	200	14	0.790320510077	0.921632653061	0.0214247777778	1.0	0.724928366762	4
DECIFER	2	50	5	200	15	0.587794175211	0.84	0.00865261111111	0.892561983471	0.559585492228	4
DECIFER	2	50	5	200	16	1.0	1.0	0.01889644	1.0	1.0	5
DECIFER	2	50	5	200	17	1.0	1.0	0.011026885	1.0	1.0	5
DECIFER	2	50	5	200	18	0.549538110224	0.852244897959	0.0352277	0.707423580786	0.586956521739	5
DECIFER	2	50	5	200	19	0.733668341709	0.913469387755	0.01608699	0.772549019608	0.804081632653	5
DECIFER	2	50	5	200	2	0.701017210701	0.898775510204	0.0240424627273	0.821138211382	0.716312056738	6
DECIFER	2	50	5	200	20	0.75874688027	0.910204081633	0.0172171373333	1.0	0.688385269122	4
DECIFER	2	50	5	200	3	0.757514916721	0.908571428571	0.01687288	0.968871595331	0.705382436261	5
DECIFER	2	50	5	200	4	0.955603357303	0.98612244898	0.016346669	0.970338983051	0.958158995816	5
DECIFER	2	50	5	200	5	0.78185703474	0.921632653061	0.0171344888889	1.0	0.710843373494	4
DECIFER	2	50	5	200	6	0.602984369198	0.843265306122	0.0255227	0.851851851852	0.602094240838	4
DECIFER	2	50	5	200	7	0.906720815128	0.965714285714	0.01231288	0.971830985915	0.890322580645	5
DECIFER	2	50	5	200	8	0.566802961653	0.843265306122	0.0277457444444	0.818965517241	0.558823529412	4
DECIFER	2	50	5	200	9	0.902171995283	0.964897959184	0.0157766777778	0.988805970149	0.868852459016	4
DECIFER	3	100	3	200	1	0.968457588547	0.986060606061	0.00452022222222	0.977356181151	0.980356046654	3
DECIFER	3	100	3	200	10	1.0	1.0	0.00624028888889	1.0	1.0	3
DECIFER	3	100	3	200	11	1.0	1.0	0.00466357777778	1.0	1.0	3
DECIFER	3	100	3	200	12	1.0	1.0	0.00772444444444	1.0	1.0	3
DECIFER	3	100	3	200	13	0.715177231276	0.872727272727	0.00716611111111	0.815551537071	0.806797853309	3
DECIFER	3	100	3	200	14	1.0	1.0	0.00965233333333	1.0	1.0	3
DECIFER	3	100	3	200	15	0.865270629579	0.940404040404	0.00483655555556	0.907814407814	0.91171060699	3
DECIFER	3	100	3	200	16	0.667489567914	0.845050505051	0.0103782	0.859290438966	0.728338430173	3
DECIFER	3	100	3	200	17	0.970943668375	0.986868686869	0.00907433333333	0.975538730344	0.986454652532	3
DECIFER	3	100	3	200	18	1.0	1.0	0.00595408444444	1.0	1.0	3
DECIFER	3	100	3	200	19	1.0	1.0	0.00726311111111	1.0	1.0	3
DECIFER	3	100	3	200	2	1.0	1.0	0.0253615333333	1.0	1.0	4
DECIFER	3	100	3	200	20	1.0	1.0	0.0059024	1.0	1.0	3
DECIFER	3	100	3	200	3	1.0	1.0	0.00469606666667	1.0	1.0	3
DECIFER	3	100	3	200	4	1.0	1.0	0.00654970222222	1.0	1.0	3
DECIFER	3	100	3	200	5	1.0	1.0	0.00709222222222	1.0	1.0	3
DECIFER	3	100	3	200	6	0.556096914501	0.799595959596	0.00904688888889	0.724055188962	0.694077055779	3
DECIFER	3	100	3	200	7	1.0	1.0	0.0103017777778	1.0	1.0	3
DECIFER	3	100	3	200	8	1.0	1.0	0.00429423333333	1.0	1.0	3
DECIFER	3	100	3	200	9	1.0	1.0	0.00823665555556	1.0	1.0	3
DECIFER	3	500	3	200	1	0.893854600798	0.952817635271	0.00306111111111	0.930006496475	0.928487352567	3
DECIFER	3	500	3	200	10	0.895824533776	0.953394789579	0.00228311111111	0.938245916146	0.92388309272	3
DECIFER	3	500	3	200	11	1.0	1.0	0.00306757777778	1.0	1.0	3
DECIFER	3	500	3	200	12	0.993571935631	0.997130260521	0.00353355555556	0.995567946243	0.995900174004	3
DECIFER	3	500	3	200	13	0.715889827451	0.871358717435	0.00652677777778	0.829179732629	0.799799868095	3
DECIFER	3	500	3	200	14	1.0	1.0	0.00439588888889	1.0	1.0	3
DECIFER	3	500	3	200	15	0.854903982503	0.935503006012	0.004309	0.904479911413	0.902091186286	3
DECIFER	3	500	3	200	16	0.664490760265	0.853450901804	0.052757975	0.748425700292	0.797942122186	5
DECIFER	3	500	3	200	17	1.0	1.0	0.00705055555556	1.0	1.0	3
DECIFER	3	500	3	200	18	1.0	1.0	0.00466991555556	1.0	1.0	3
DECIFER	3	500	3	200	19	1.0	1.0	0.00341755555556	1.0	1.0	3
DECIFER	3	500	3	200	2	1.0	1.0	0.00444551111111	1.0	1.0	3
DECIFER	3	500	3	200	20	1.0	1.0	0.00148017777778	1.0	1.0	3
DECIFER	3	500	3	200	3	0.982150652148	0.992064128257	0.00487628888889	0.988437222049	0.987772359286	3
DECIFER	3	500	3	200	4	1.0	1.0	0.00213948	1.0	1.0	3
DECIFER	3	500	3	200	5	1.0	1.0	0.00174755555556	1.0	1.0	3
DECIFER	3	500	3	200	6	0.676230152297	0.856360721443	0.00464555555556	0.783530774242	0.784003669548	3
DECIFER	3	500	3	200	7	1.0	1.0	0.00285466666667	1.0	1.0	3
DECIFER	3	500	3	200	8	1.0	1.0	0.00322887777778	1.0	1.0	3
DECIFER	3	500	3	200	9	1.0	1.0	0.00179376666667	1.0	1.0	3
DECIFER	3	50	3	200	1	0.866245064421	0.939591836735	0.00690155555556	0.912322274882	0.912322274882	3
DECIFER	3	50	3	200	10	0.891928315238	0.952653061224	0.00485666666667	0.929292929293	0.924623115578	3
DECIFER	3	50	3	200	11	0.944671779446	0.975510204082	0.0169719777778	0.970149253731	0.955882352941	3
DECIFER	3	50	3	200	12	1.0	1.0	0.0172266666667	1.0	1.0	3
